sku_id,week_start,horizon_week,predicted_demand,is_low_confidence
SKU0198,2026-07-27,1,159.60328161338913,False
SKU0198,2026-08-03,2,153.81039328211398,False
SKU0198,2026-08-10,3,162.0392122164181,False
SKU0198,2026-08-17,4,153.43024706996994,False
SKU0198,2026-08-24,5,157.54435325608875,False
SKU0198,2026-08-31,6,158.89034817402077,False
SKU0198,2026-09-07,7,162.54565247761894,False
SKU0198,2026-09-14,8,163.51892692428518,False
SKU0197,2026-07-27,1,14.161036517015342,False
SKU0197,2026-08-03,2,17.158534652206338,False
SKU0197,2026-08-10,3,14.575878348042165,False
SKU0197,2026-08-17,4,16.372459702613224,False
SKU0197,2026-08-24,5,14.957327551945951,False
SKU0197,2026-08-31,6,15.320091142695432,False
SKU0197,2026-09-07,7,15.603759135864928,False
SKU0197,2026-09-14,8,17.198114294652424,False
SKU0199,2026-07-27,1,12.00270431949912,False
SKU0199,2026-08-03,2,10.796998422707881,False
SKU0199,2026-08-10,3,10.012745359637195,False
SKU0199,2026-08-17,4,8.368996797334175,False
SKU0199,2026-08-24,5,10.134267525998707,False
SKU0199,2026-08-31,6,10.697486783905932,False
SKU0199,2026-09-07,7,12.793717900590664,False
SKU0199,2026-09-14,8,11.860167662824253,False
SKU0115,2026-07-27,1,35.299235016142276,False
SKU0115,2026-08-03,2,34.69921304584602,False
SKU0115,2026-08-10,3,34.4790504131053,False
SKU0115,2026-08-17,4,33.90333736107133,False
SKU0115,2026-08-24,5,35.32963529341102,False
SKU0115,2026-08-31,6,33.90333736107133,False
SKU0115,2026-09-07,7,33.8296475048811,False
SKU0115,2026-09-14,8,36.32637432650598,False
SKU0195,2026-07-27,1,214.7196723041381,False
SKU0195,2026-08-03,2,226.4871265001701,False
SKU0195,2026-08-10,3,224.96880581037695,False
SKU0195,2026-08-17,4,235.68826284785243,False
SKU0195,2026-08-24,5,245.28698685345324,False
SKU0195,2026-08-31,6,235.7617898741226,False
SKU0195,2026-09-07,7,235.13064875067985,False
SKU0195,2026-09-14,8,231.20253047210846,False
SKU0085,2026-07-27,1,21.760412675544792,False
SKU0085,2026-08-03,2,22.119810419718227,False
SKU0085,2026-08-10,3,20.002028070737005,False
SKU0085,2026-08-17,4,20.58421857765217,False
SKU0085,2026-08-24,5,20.755843605739,False
SKU0085,2026-08-31,6,20.182999204318733,False
SKU0085,2026-09-07,7,21.96893430057416,False
SKU0085,2026-09-14,8,22.03888357898187,False
SKU0084,2026-07-27,1,38.49007157788765,False
SKU0084,2026-08-03,2,37.37650402061317,False
SKU0084,2026-08-10,3,34.364091069995844,False
SKU0084,2026-08-17,4,35.06271273966259,False
SKU0084,2026-08-24,5,36.86419449801443,False
SKU0084,2026-08-31,6,38.248077488583746,False
SKU0084,2026-09-07,7,39.78066820290274,False
SKU0084,2026-09-14,8,40.58061786053804,False
SKU0083,2026-07-27,1,37.80069969155719,False
SKU0083,2026-08-03,2,36.45035052970148,False
SKU0083,2026-08-10,3,33.304304818082294,False
SKU0083,2026-08-17,4,37.96809869546156,False
SKU0083,2026-08-24,5,39.10111613647447,False
SKU0083,2026-08-31,6,37.78942475565138,False
SKU0083,2026-09-07,7,38.06958536860642,False
SKU0083,2026-09-14,8,38.14704791188357,False
SKU0082,2026-07-27,1,47.073948048738224,False
SKU0082,2026-08-03,2,53.44175875806521,False
SKU0082,2026-08-10,3,53.242594146807804,False
SKU0082,2026-08-17,4,54.68215222386477,False
SKU0082,2026-08-24,5,62.687069531389824,False
SKU0082,2026-08-31,6,60.252901735247505,False
SKU0082,2026-09-07,7,53.694677760942916,False
SKU0082,2026-09-14,8,56.265564679272295,False
SKU0018,2026-07-27,1,20.543179855752697,False
SKU0018,2026-08-03,2,23.58358858168815,False
SKU0018,2026-08-10,3,22.56283228846905,False
SKU0018,2026-08-17,4,23.25347198577649,False
SKU0018,2026-08-24,5,24.86654786652611,False
SKU0018,2026-08-31,6,23.16044162377667,False
SKU0018,2026-09-07,7,20.15801775638502,False
SKU0018,2026-09-14,8,25.254328304713088,False
SKU0081,2026-07-27,1,37.80777149596075,False
SKU0081,2026-08-03,2,42.14964193126698,False
SKU0081,2026-08-10,3,37.90209302014939,False
SKU0081,2026-08-17,4,39.02901464538691,False
SKU0081,2026-08-24,5,37.21088961036863,False
SKU0081,2026-08-31,6,38.73977751303446,False
SKU0081,2026-09-07,7,40.10047182446536,False
SKU0081,2026-09-14,8,40.10047182446536,False
SKU0080,2026-07-27,1,43.36186291148636,False
SKU0080,2026-08-03,2,46.23017355941992,False
SKU0080,2026-08-10,3,41.46918247139185,False
SKU0080,2026-08-17,4,41.28567361715334,False
SKU0080,2026-08-24,5,40.95160308992538,False
SKU0080,2026-08-31,6,41.13128718616999,False
SKU0080,2026-09-07,7,44.72756456978393,False
SKU0080,2026-09-14,8,45.052157647914875,False
SKU0086,2026-07-27,1,8.768606734284273,False
SKU0086,2026-08-03,2,8.29462112709198,False
SKU0086,2026-08-10,3,9.843609866716859,False
SKU0086,2026-08-17,4,7.104464962775266,False
SKU0086,2026-08-24,5,7.794353601036814,False
SKU0086,2026-08-31,6,7.2709302190840415,False
SKU0086,2026-09-07,7,7.195848824444084,False
SKU0086,2026-09-14,8,6.112827607940404,False
SKU0079,2026-07-27,1,150.44302591532633,False
SKU0079,2026-08-03,2,171.37274928125206,False
SKU0079,2026-08-10,3,160.73940002971642,False
SKU0079,2026-08-17,4,163.1876449944022,False
SKU0079,2026-08-24,5,165.5719216763897,False
SKU0079,2026-08-31,6,173.73520151162973,False
SKU0079,2026-09-07,7,200.70638852723002,False
SKU0079,2026-09-14,8,167.78403614955488,False
SKU0077,2026-07-27,1,591.7357821701714,False
SKU0077,2026-08-03,2,535.7484241783075,False
SKU0077,2026-08-10,3,500.23795879050294,False
SKU0077,2026-08-17,4,742.5247799153651,False
SKU0077,2026-08-24,5,555.3197894968367,False
SKU0077,2026-08-31,6,638.3023418668362,False
SKU0077,2026-09-07,7,777.6149553684196,False
SKU0077,2026-09-14,8,685.5847609929813,False
SKU0076,2026-07-27,1,137.17261093047767,False
SKU0076,2026-08-03,2,125.96052038996756,False
SKU0076,2026-08-10,3,126.81999880839126,False
SKU0076,2026-08-17,4,127.59679179602658,False
SKU0076,2026-08-24,5,123.7670547610922,False
SKU0076,2026-08-31,6,136.3984019816698,False
SKU0076,2026-09-07,7,126.19177165827725,False
SKU0076,2026-09-14,8,129.04272739392528,False
SKU0075,2026-07-27,1,45.35512958399773,False
SKU0075,2026-08-03,2,44.60627056021393,False
SKU0075,2026-08-10,3,48.61441614371854,False
SKU0075,2026-08-17,4,46.35450829215517,False
SKU0075,2026-08-24,5,46.14651451422343,False
SKU0075,2026-08-31,6,42.324306962565515,False
SKU0075,2026-09-07,7,45.58317229500651,False
SKU0075,2026-09-14,8,42.0806086346082,False
SKU0019,2026-07-27,1,68.78660587510282,False
SKU0019,2026-08-03,2,65.26046561397987,False
SKU0019,2026-08-10,3,70.18910564251765,False
SKU0019,2026-08-17,4,63.662781226963084,False
SKU0019,2026-08-24,5,64.33565131620541,False
SKU0019,2026-08-31,6,67.37947226098302,False
SKU0019,2026-09-07,7,69.01952615060513,False
SKU0019,2026-09-14,8,65.65089582078593,False
SKU0074,2026-07-27,1,14.25532694000989,False
SKU0074,2026-08-03,2,12.337164213289906,False
SKU0074,2026-08-10,3,13.210218665567833,False
SKU0074,2026-08-17,4,13.582078139580362,False
SKU0074,2026-08-24,5,12.797825076509678,False
SKU0074,2026-08-31,6,15.658698119862134,False
SKU0074,2026-09-07,7,19.212406463328172,False
SKU0074,2026-09-14,8,12.909161810614158,False
SKU0073,2026-07-27,1,9.054590614403866,False
SKU0073,2026-08-03,2,9.300510054019885,False
SKU0073,2026-08-10,3,8.03550685141052,False
SKU0073,2026-08-17,4,8.03550685141052,False
SKU0073,2026-08-24,5,7.512083469457748,False
SKU0073,2026-08-31,6,8.03550685141052,False
SKU0073,2026-09-07,7,8.894289408927838,False
SKU0073,2026-09-14,8,9.95777619289023,False
SKU0072,2026-07-27,1,26.374873398912918,False
SKU0072,2026-08-03,2,27.945136262193422,False
SKU0072,2026-08-10,3,27.989001697481193,False
SKU0072,2026-08-17,4,27.10588070013665,False
SKU0072,2026-08-24,5,26.571153352533237,False
SKU0072,2026-08-31,6,27.945136262193422,False
SKU0072,2026-09-07,7,26.4073760351227,False
SKU0072,2026-09-14,8,28.3329167003804,False
SKU0078,2026-07-27,1,1.188681880713457,False
SKU0078,2026-08-03,2,1.4346013203294758,False
SKU0078,2026-08-10,3,1.4346013203294758,False
SKU0078,2026-08-17,4,1.4346013203294758,False
SKU0078,2026-08-24,5,1.4346013203294758,False
SKU0078,2026-08-31,6,1.4346013203294758,False
SKU0078,2026-09-07,7,1.525985181998293,False
SKU0078,2026-09-14,8,1.525985181998293,False
SKU0087,2026-07-27,1,10.417848725253423,False
SKU0087,2026-08-03,2,9.15365354168362,False
SKU0087,2026-08-10,3,10.418656744292985,False
SKU0087,2026-08-17,4,12.788169082888128,False
SKU0087,2026-08-24,5,10.032666427432446,False
SKU0087,2026-08-31,6,11.70317733341884,False
SKU0087,2026-09-07,7,12.318618241518061,False
SKU0087,2026-09-14,8,11.036239467410253,False
SKU0089,2026-07-27,1,23.719798399993845,False
SKU0089,2026-08-03,2,23.2452252412281,False
SKU0089,2026-08-10,3,24.27300526841224,False
SKU0089,2026-08-17,4,27.669167892425726,False
SKU0089,2026-08-24,5,27.43983487537498,False
SKU0089,2026-08-31,6,27.20054711399907,False
SKU0089,2026-09-07,7,24.025591825954557,False
SKU0089,2026-09-14,8,22.30065118115126,False
SKU0016,2026-07-27,1,32.174260251943906,False
SKU0016,2026-08-03,2,35.301597380785026,False
SKU0016,2026-08-10,3,35.1783576464238,False
SKU0016,2026-08-17,4,34.602921692706616,False
SKU0016,2026-08-24,5,32.65381968358769,False
SKU0016,2026-08-31,6,34.95745531221704,False
SKU0016,2026-09-07,7,31.78790372471002,False
SKU0016,2026-09-14,8,31.089228036631624,False
SKU0108,2026-07-27,1,111.26265303614434,False
SKU0108,2026-08-03,2,109.27174497087884,False
SKU0108,2026-08-10,3,128.26203201640678,False
SKU0108,2026-08-17,4,124.04361926109233,False
SKU0108,2026-08-24,5,129.18045412002053,False
SKU0108,2026-08-31,6,125.55217350736105,False
SKU0108,2026-09-07,7,124.7788673333858,False
SKU0108,2026-09-14,8,124.68624172987214,False
SKU0014,2026-07-27,1,10.732592332855466,False
SKU0014,2026-08-03,2,11.333179516752146,False
SKU0014,2026-08-10,3,11.612413237643853,False
SKU0014,2026-08-17,4,11.333179516752146,False
SKU0014,2026-08-24,5,13.243325821525199,False
SKU0014,2026-08-31,6,11.268831500489771,False
SKU0014,2026-09-07,7,12.615986277621664,False
SKU0014,2026-09-14,8,12.336752556729957,False
SKU0107,2026-07-27,1,13.525204344923111,False
SKU0107,2026-08-03,2,14.339267930414389,False
SKU0107,2026-08-10,3,15.904437929619911,False
SKU0107,2026-08-17,4,19.988553485727895,False
SKU0107,2026-08-24,5,20.97655682594493,False
SKU0107,2026-08-31,6,16.01840473395307,False
SKU0107,2026-09-07,7,23.699684955717974,False
SKU0107,2026-09-14,8,18.06024135401299,False
SKU0106,2026-07-27,1,11.57784276836413,False
SKU0106,2026-08-03,2,11.640139201568179,False
SKU0106,2026-08-10,3,14.404669557723025,False
SKU0106,2026-08-17,4,10.038249624867394,False
SKU0106,2026-08-24,5,11.656411859434236,False
SKU0106,2026-08-31,6,12.035157219127893,False
SKU0106,2026-09-07,7,12.731218801355547,False
SKU0106,2026-09-14,8,14.688337550892522,False
SKU0105,2026-07-27,1,68.70575849464754,False
SKU0105,2026-08-03,2,68.73464786878408,False
SKU0105,2026-08-10,3,65.77437603433712,False
SKU0105,2026-08-17,4,68.74028868875126,False
SKU0105,2026-08-24,5,64.12790684117124,False
SKU0105,2026-08-31,6,69.10113159736281,False
SKU0105,2026-09-07,7,69.06561939407551,False
SKU0105,2026-09-14,8,65.4842506702131,False
SKU0104,2026-07-27,1,9.806104678148111,False
SKU0104,2026-08-03,2,10.835279628396304,False
SKU0104,2026-08-10,3,11.149676971827585,False
SKU0104,2026-08-17,4,11.149676971827585,False
SKU0104,2026-08-24,5,9.16476872240991,False
SKU0104,2026-08-31,6,10.051026565325618,False
SKU0104,2026-09-07,7,12.70420689709026,False
SKU0104,2026-09-14,8,10.713439918188774,False
SKU0103,2026-07-27,1,1.9513928371232836,False
SKU0103,2026-08-03,2,1.9826143352554424,False
SKU0103,2026-08-10,3,1.9826143352554424,False
SKU0103,2026-08-17,4,1.9826143352554424,False
SKU0103,2026-08-24,5,1.9826143352554424,False
SKU0103,2026-08-31,6,1.9826143352554424,False
SKU0103,2026-09-07,7,2.2662823284249387,False
SKU0103,2026-09-14,8,2.2662823284249387,False
SKU0101,2026-07-27,1,55.912362459855494,False
SKU0101,2026-08-03,2,58.41002937344439,False
SKU0101,2026-08-10,3,57.86893353093991,False
SKU0101,2026-08-17,4,57.434555767958834,False
SKU0101,2026-08-24,5,65.85762697175063,False
SKU0101,2026-08-31,6,61.75271868554402,False
SKU0101,2026-09-07,7,67.92697813460312,False
SKU0101,2026-09-14,8,67.1488712344974,False
SKU0099,2026-07-27,1,108.19618774827765,False
SKU0099,2026-08-03,2,105.11202098379785,False
SKU0099,2026-08-10,3,101.80591273127253,False
SKU0099,2026-08-17,4,109.43757073695905,False
SKU0099,2026-08-24,5,110.2937480483718,False
SKU0099,2026-08-31,6,106.26768180815935,False
SKU0099,2026-09-07,7,105.03883877908227,False
SKU0099,2026-09-14,8,120.59742994081773,False
SKU0098,2026-07-27,1,93.23214380299903,False
SKU0098,2026-08-03,2,89.48641171472536,False
SKU0098,2026-08-10,3,84.68838630616825,False
SKU0098,2026-08-17,4,80.10524964026487,False
SKU0098,2026-08-24,5,93.27323941860236,False
SKU0098,2026-08-31,6,90.80018461005916,False
SKU0098,2026-09-07,7,86.62009744591664,False
SKU0098,2026-09-14,8,86.04929870554611,False
SKU0015,2026-07-27,1,1.9976943269248328,False
SKU0015,2026-08-03,2,2.028915825056992,False
SKU0015,2026-08-10,3,2.707250881717926,False
SKU0015,2026-08-17,4,2.028915825056992,False
SKU0015,2026-08-24,5,2.237396834755356,False
SKU0015,2026-08-31,6,2.028915825056992,False
SKU0015,2026-09-07,7,2.312583818226488,False
SKU0015,2026-09-14,8,2.312583818226488,False
SKU0097,2026-07-27,1,62.21712356025223,False
SKU0097,2026-08-03,2,61.48675001819264,False
SKU0097,2026-08-10,3,62.178615045452695,False
SKU0097,2026-08-17,4,66.4674340511741,False
SKU0097,2026-08-24,5,66.19796481144084,False
SKU0097,2026-08-31,6,64.1709753149157,False
SKU0097,2026-09-07,7,65.06834785966097,False
SKU0097,2026-09-14,8,63.567570104801604,False
SKU0096,2026-07-27,1,2.7959098131923996,False
SKU0096,2026-08-03,2,3.296985358287131,False
SKU0096,2026-08-10,3,3.296985358287131,False
SKU0096,2026-08-17,4,3.1945365205956993,False
SKU0096,2026-08-24,5,2.9860555108973372,False
SKU0096,2026-08-31,6,2.9860555108973372,False
SKU0096,2026-09-07,7,3.269723504066833,False
SKU0096,2026-09-14,8,3.269723504066833,False
SKU0095,2026-07-27,1,116.46170933891369,False
SKU0095,2026-08-03,2,119.43253183369642,False
SKU0095,2026-08-10,3,123.33977220039753,False
SKU0095,2026-08-17,4,129.0437563895619,False
SKU0095,2026-08-24,5,129.84774274176445,False
SKU0095,2026-08-31,6,131.20007259906558,False
SKU0095,2026-09-07,7,124.80829864713701,False
SKU0095,2026-09-14,8,126.26696415234322,False
SKU0094,2026-07-27,1,23.11743482777953,False
SKU0094,2026-08-03,2,25.938254828996563,False
SKU0094,2026-08-10,3,24.470730233052084,False
SKU0094,2026-08-17,4,20.630515856250284,False
SKU0094,2026-08-24,5,20.80636724590311,False
SKU0094,2026-08-31,6,20.47391603535528,False
SKU0094,2026-09-07,7,22.62000233051222,False
SKU0094,2026-09-14,8,18.060001874780028,False
SKU0093,2026-07-27,1,35.71441734987969,False
SKU0093,2026-08-03,2,39.22677270201322,False
SKU0093,2026-08-10,3,40.695679306579024,False
SKU0093,2026-08-17,4,38.24670491640244,False
SKU0093,2026-08-24,5,37.45969309938703,False
SKU0093,2026-08-31,6,38.03065138725652,False
SKU0093,2026-09-07,7,42.12432822886076,False
SKU0093,2026-09-14,8,36.01712621337681,False
SKU0091,2026-07-27,1,35.23420694831529,False
SKU0091,2026-08-03,2,35.51598801949957,False
SKU0091,2026-08-10,3,30.345949814857963,False
SKU0091,2026-08-17,4,34.48127185490333,False
SKU0091,2026-08-24,5,34.98313550442757,False
SKU0091,2026-08-31,6,34.70395038067969,False
SKU0091,2026-09-07,7,35.49560846670768,False
SKU0091,2026-09-14,8,35.889112588443794,False
SKU0071,2026-07-27,1,1.8067532653146696,False
SKU0071,2026-08-03,2,1.8379747634468293,False
SKU0071,2026-08-10,3,1.8379747634468293,False
SKU0071,2026-08-17,4,1.8379747634468293,False
SKU0071,2026-08-24,5,1.8379747634468293,False
SKU0071,2026-08-31,6,1.8379747634468293,False
SKU0071,2026-09-07,7,2.1216427566163243,False
SKU0071,2026-09-14,8,2.1216427566163243,False
SKU0070,2026-07-27,1,1.2401908233640446,False
SKU0070,2026-08-03,2,1.6276277684600606,False
SKU0070,2026-08-10,3,1.6276277684600606,False
SKU0070,2026-08-17,4,1.6276277684600606,False
SKU0070,2026-08-24,5,1.6276277684600606,False
SKU0070,2026-08-31,6,1.6276277684600606,False
SKU0070,2026-09-07,7,1.911295761629556,False
SKU0070,2026-09-14,8,1.911295761629556,False
SKU0069,2026-07-27,1,32.88601481662302,False
SKU0069,2026-08-03,2,29.639300436806135,False
SKU0069,2026-08-10,3,29.348741821790856,False
SKU0069,2026-08-17,4,31.068662528809323,False
SKU0069,2026-08-24,5,28.604921706293435,False
SKU0069,2026-08-31,6,32.559787302611255,False
SKU0069,2026-09-07,7,31.165149271482345,False
SKU0069,2026-09-14,8,33.05909666613993,False
SKU0066,2026-07-27,1,11.206934554556325,False
SKU0066,2026-08-03,2,12.158558097904365,False
SKU0066,2026-08-10,3,9.761256259428531,False
SKU0066,2026-08-17,4,11.431767165414925,False
SKU0066,2026-08-24,5,12.414633275248889,False
SKU0066,2026-08-31,6,11.746164508846206,False
SKU0066,2026-09-07,7,12.419067547526678,False
SKU0066,2026-09-14,8,12.029832502015703,False
SKU0045,2026-07-27,1,16.59798651362411,False
SKU0045,2026-08-03,2,19.325760829637534,False
SKU0045,2026-08-10,3,15.952868013170125,False
SKU0045,2026-08-17,4,14.646842458537387,False
SKU0045,2026-08-24,5,15.664538409015371,False
SKU0045,2026-08-31,6,15.952868013170125,False
SKU0045,2026-09-07,7,14.087133125301968,False
SKU0045,2026-09-14,8,13.386409932089066,False
SKU0043,2026-07-27,1,44.52067588607286,False
SKU0043,2026-08-03,2,43.65129139746973,False
SKU0043,2026-08-10,3,44.60911891838526,False
SKU0043,2026-08-17,4,44.60911891838526,False
SKU0043,2026-08-24,5,42.14056285749366,False
SKU0043,2026-08-31,6,44.970789950620976,False
