date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2026-06-08,SKU0001,60.3,77.3,24.0,86.2
2026-06-15,SKU0001,37.3,77.3,24.0,86.2
2026-06-22,SKU0001,8.3,77.3,24.0,86.2
2026-06-29,SKU0001,69.7,77.3,24.0,86.2
2026-07-06,SKU0001,55.7,77.3,24.0,86.2
2026-07-13,SKU0001,38.7,77.3,24.0,86.2
2024-08-05,SKU0002,83.2,0.0,13.0,65.9
2024-08-12,SKU0002,56.2,109.2,13.0,65.9
2024-08-19,SKU0002,33.2,109.2,13.0,65.9
2024-08-26,SKU0002,113.5,0.0,13.0,65.9
2024-09-02,SKU0002,89.5,0.0,13.0,65.9
2024-09-09,SKU0002,66.5,0.0,13.0,65.9
2024-09-16,SKU0002,52.5,109.2,13.0,65.9
2024-09-23,SKU0002,22.5,109.2,13.0,65.9
2024-09-30,SKU0002,97.7,0.0,13.0,65.9
2024-10-07,SKU0002,71.7,0.0,13.0,65.9
2024-10-14,SKU0002,25.7,109.2,13.0,65.9
2024-10-21,SKU0002,0.0,109.2,13.0,65.9
2024-10-28,SKU0002,66.2,0.0,13.0,65.9
2024-11-04,SKU0002,21.2,109.2,13.0,65.9
2024-11-11,SKU0002,0.0,109.2,13.0,65.9
2024-11-18,SKU0002,77.2,0.0,13.0,65.9
2024-11-25,SKU0002,40.2,109.2,13.0,65.9
2024-12-02,SKU0002,8.2,109.2,13.0,65.9
2024-12-09,SKU0002,81.5,0.0,13.0,65.9
2024-12-16,SKU0002,43.5,109.2,13.0,65.9
2024-12-23,SKU0002,0.0,109.2,13.0,65.9
2024-12-30,SKU0002,83.2,0.0,13.0,65.9
2025-01-06,SKU0002,66.2,0.0,13.0,65.9
2025-01-13,SKU0002,55.2,109.2,13.0,65.9
2025-01-20,SKU0002,34.2,109.2,13.0,65.9
2025-01-27,SKU0002,121.5,0.0,13.0,65.9
2025-02-03,SKU0002,99.5,0.0,13.0,65.9
2025-02-10,SKU0002,82.5,0.0,13.0,65.9
2025-02-17,SKU0002,59.5,109.2,13.0,65.9
2025-02-24,SKU0002,37.5,109.2,13.0,65.9
2025-03-03,SKU0002,124.7,0.0,13.0,65.9
2025-03-10,SKU0002,95.7,0.0,13.0,65.9
2025-03-17,SKU0002,63.7,109.2,13.0,65.9
2025-03-24,SKU0002,35.7,109.2,13.0,65.9
2025-03-31,SKU0002,123.0,0.0,13.0,65.9
2025-04-07,SKU0002,102.0,0.0,13.0,65.9
2025-04-14,SKU0002,80.0,0.0,13.0,65.9
2025-04-21,SKU0002,58.0,109.2,13.0,65.9
2025-04-28,SKU0002,38.0,109.2,13.0,65.9
2025-05-05,SKU0002,126.2,0.0,13.0,65.9
2025-05-12,SKU0002,111.2,0.0,13.0,65.9
2025-05-19,SKU0002,91.2,0.0,13.0,65.9
2025-05-26,SKU0002,66.2,0.0,13.0,65.9
2025-06-02,SKU0002,44.2,109.2,13.0,65.9
2025-06-09,SKU0002,18.2,109.2,13.0,65.9
2025-06-16,SKU0002,88.5,0.0,13.0,65.9
