sku_id,demand_8weeks,is_low_confidence,date,on_hand_units,on_order_units,lead_time_days,reorder_point,demand_over_lead_time,available_stock,stockout_risk_ratio,overstock_risk_ratio,high_stockout_risk,high_overstock_risk,risk_category,category,subcategory,unit_cost,list_price,recommended_action,stockout_value_at_risk,overstock_capital_locked
SKU0001,142.0,True,2026-07-13,38.7,77.3,24.0,86.2,60.857142857142854,116.0,0.5246305418719212,0.27253521126760566,True,False,Reorder Now,Lighting,Ceiling Lights,3226.49,8660.05,Raise a replenishment order before stock runs out.,24742.99999999997,0.0
SKU0002,168.83848925863097,False,2026-07-13,106.7,0.0,13.0,65.9,41.17049409730243,106.7,0.3858528031612224,0.6319649060384229,False,True,Markdown / Clear,Decor,Mirrors,442.19,1266.29,Promote or discount to free up capital.,0.0,9852.327217362987
SKU0003,549.2752225363802,False,2026-07-13,299.4,304.0,24.0,338.8,235.88209949976707,603.4,0.39092161004270315,0.5450819329105452,False,True,Markdown / Clear,Lighting,Table Lamps,2376.24,6903.62,Promote or discount to free up capital.,0.0,58841.378600075936
SKU0004,309.601088385823,False,2026-07-13,131.8,0.0,12.0,99.6,66.45851710653012,131.8,0.5042376108234455,0.4257090977527561,True,False,Reorder Now,Small Appliances,Coffee Makers,3473.96,8352.65,Raise a replenishment order before stock runs out.,4665.097909858791,0.0
SKU0005,368.0103936790546,False,2026-07-13,95.8,228.8,33.0,350.6,214.37417665200954,324.6,0.6604256828466097,0.26031873459407806,True,False,Reorder Now,Furnishings,Tables,10646.94,25811.7,Raise a replenishment order before stock runs out.,1344123.0254886744,0.0
SKU0006,513.289208083004,False,2026-07-13,252.6,0.0,7.0,99.8,53.62016609773824,252.6,0.21227302493166367,0.49212022388585275,False,False,Healthy,Textiles,Throws,1318.16,3637.92,No action needed.,0.0,0.0
SKU0007,156.92362059914083,False,2026-07-13,95.6,0.0,14.0,70.0,43.117909405449836,95.6,0.45102415696077236,0.6092135755917131,False,True,Markdown / Clear,Lighting,Floor Lamps,1847.81,4023.31,Promote or discount to free up capital.,0.0,31668.11831035078
SKU0008,588.3981350047951,False,2026-07-13,370.3,0.0,22.0,357.4,227.7286336013838,370.3,0.6149841577137019,0.6293357812852046,True,True,Watch / Volatile,Lighting,Table Lamps,2738.47,7681.02,Investigate manually — demand is erratic.,327047.3362649009,208400.12061670938
SKU0009,356.71176538607176,False,2026-07-13,141.8,235.1,33.0,360.3,211.6234384624653,376.9,0.561484315368706,0.39751982906010636,True,False,Reorder Now,Furnishings,Shelving,5031.4,12039.99,Raise a replenishment order before stock runs out.,279007.9673536976,0.0
SKU0010,103.40908707135108,False,2026-07-13,8.2,49.4,8.0,18.4,13.538625115356183,57.599999999999994,0.2350455749193782,0.07929670623957925,False,False,Healthy,Decor,Wall Art,451.58,875.63,No action needed.,0.0,0.0
SKU0011,18.0,True,2026-07-13,5.0,0.0,14.0,4.6,4.5,5.0,0.9,0.2777777777777778,True,False,Reorder Now,Decor,Wall Art,1115.545,2000.0,Raise a replenishment order before stock runs out.,4000.0,0.0
SKU0012,155.63840883899672,False,2026-07-13,81.6,0.0,10.0,44.2,29.354615592919536,81.6,0.3597379361877394,0.5242921757470083,False,True,Markdown / Clear,Textiles,Cushions,1217.16,3420.7,Promote or discount to free up capital.,0.0,4601.833148763367
SKU0013,54.282912614094734,False,2026-07-13,14.9,34.9,14.0,22.7,13.878570549308916,49.8,0.2786861556086128,0.27448785045722046,False,False,Healthy,Small Appliances,Kettles,2009.36,3750.84,No action needed.,0.0,0.0
SKU0014,94.4762607603702,False,2026-07-13,49.7,58.1,21.0,56.6,33.678185087251464,107.80000000000001,0.31241359079082986,0.5260580763887258,False,True,Markdown / Clear,Lighting,Table Lamps,1786.29,3816.83,Promote or discount to free up capital.,0.0,4397.613083179167
SKU0015,17.654257155022066,False,2026-07-13,3.3,9.8,10.0,4.5,2.8672296805206865,13.100000000000001,0.2188724946962356,0.1869237527822719,False,False,Healthy,Decor,Wall Art,859.51,1891.74,No action needed.,0.0,0.0
