sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Lighting,Ceiling Lights,2026-06-08,3226.49,8660.05
SKU0002,Decor,Mirrors,2024-08-02,442.19,1266.29
SKU0003,Lighting,Table Lamps,2024-08-07,2376.24,6903.62
SKU0004,Small Appliances,Coffee Makers,2024-07-29,3473.96,8352.65
SKU0005,Furnishings,Tables,2024-07-26,10646.94,25811.7
SKU0006,Textiles,Throws,2024-08-07,1318.16,3637.92
SKU0007,Lighting,Floor Lamps,2024-07-29,1847.81,4023.31
SKU0008,Lighting,Table Lamps,2024-08-04,2738.47,7681.02
SKU0009,Furnishings,Shelving,2024-08-05,5031.4,12039.99
SKU0010,Decor,Wall Art,2024-07-28,451.58,875.63
SKU0011,Decor,Wall Art,2026-03-31,,2000.0
SKU0012,TEXTILES,Cushions,2024-07-21,1217.16,3420.7
SKU0013,Small Appliances,Kettles,2024-07-21,2009.36,3750.84
SKU0014,Lighting,Table Lamps,2024-08-01,1786.29,3816.83
SKU0015,Decor,Wall Art,2024-08-03,859.51,1891.74
SKU0016,Furnishings,Beds,2024-08-03,5611.21,11265.03
SKU0017,Small Appliances,Coffee Makers,2026-03-27,2773.21,6036.37
SKU0018,Furnishings,Sofas,2024-07-20,9014.56,24260.26
SKU0019,Lighting,Table Lamps,2024-07-22,1539.07,2797.44
SKU0020,Small Appliances,Toasters,2024-07-31,5734.06,16012.98
SKU0021,Lighting,Ceiling Lights,2024-08-06,3707.22,10483.49
SKU0022,Decor,Mirrors,2026-05-13,1065.64,2394.19
SKU0023,Textiles,Curtains,2026-03-08,,2028.76
SKU0024,Textiles,Throws,2024-07-19,1477.96,3725.95
SKU0025,Lighting,Floor Lamps,2026-03-04,3469.96,6744.24
SKU0026, Furnishings ,Sofas,2024-07-25,8699.58,19468.82
SKU0027, Decor ,Rugs,2024-07-19,1647.91,4861.52
SKU0028,Furnishings,Shelving,2024-07-19,7560.86,22641.43
SKU0029,Furnishings,Sofas,2024-08-03,8512.72,23210.15
SKU0030,Small Appliances,Air Fryers,2024-08-01,2298.41,4994.8
SKU0031,Lighting,Table Lamps,2024-07-25,3072.13,8064.95
SKU0032,Textiles,Curtains,2024-08-07,745.29,1972.4
SKU0033,Decor,Rugs,2024-07-30,1450.64,3286.29
SKU0034,Decor,Wall Art,2026-04-18,1749.29,4494.04
SKU0035,Decor,Candles,2024-07-24,437.79,
SKU0036,Furnishings,Sofas,2026-04-28,8336.61,17097.3
SKU0037,Furnishings,Tables,2024-07-24,3403.41,8270.65
SKU0038,Decor,Rugs,2024-07-21,1506.29,3007.31
SKU0039,FURNISHINGS,Sofas,2024-07-31,3302.69,6602.37
SKU0040,Small Appliances,Kettles,2024-07-27,5666.89,15887.5
SKU0041, Decor ,Rugs,2024-08-05,447.33,1336.16
SKU0042,Lighting,Table Lamps,2024-08-07,3856.08,9513.58
SKU0043,Small Appliances,Blenders,2024-07-27,4964.6,13935.05
SKU0044,Decor,Candles,2026-02-09,1268.63,3791.16
SKU0045,Lighting,Floor Lamps,2024-07-26,3239.18,6380.91
